ID,TITLE,LOCATION,SALARY,SUMMARY,LINK
1,Baseball Operations Intern,"Seattle, WA 98101 (Downtown area)",,"Job Title:Baseball Operations Intern Department:Baseball Operations Reports To:Director, Baseball Operations Status:Part-time, Nonexempt Dates: Preference…",https://www.indeed.com/viewjob?jk=202af912ccb39e41
2,"Python Developer

new","Seattle, WA 98119 (Uptown area)","$70,000 - $100,000 a year",We are looking for full-time python developers to join a small and fast-growing team. This position will be focusing on the development of our synthetic data…,https://www.indeed.com/viewjob?jk=84c081fe2b060bfd
3,Python Developer/Programmer,"McLean, VA",,"6+ years of hands on experience with Python is needed Experience in AWS,Snowflakes Should have sound knowledge about all facets of software development life…",https://www.indeed.com/viewjob?jk=ffa9b642e6f96268
4,Baseball Projects Intern,"Seattle, WA 98101 (Downtown area)",,"Job Title:Baseball Projects Intern Department:Baseball Projects Reports To:Asst. Director, Baseball Projects Status:Part-time, Nonexempt Dates: Must be…",https://www.indeed.com/viewjob?jk=bb460b5da38dee04
5,Senior Product Scientist - Social Impact,"Seattle, WA","$178,000 - $225,000 a year","Our mission: As the world’s number 1 job site, our mission is to help people get jobs. We need talented, passionate people working together to make this happen…",https://www.indeed.com/viewjob?jk=5718c30aa84c61fe
6,Junior Quant,"Seattle, WA 98109 (Westlake area)",,"Dexterity Capital is one of the leading high-frequency trading firms in the cryptocurrency space. Our team trades billions of dollars every month, providing…",https://www.indeed.com/viewjob?jk=e1a750ccc83bd177
7,Associate Business Analyst,"Seattle, WA 98121 (Belltown area)",,The Associate Business Analyst will create and maintain key performance reports and business metrics to support strategies that improve effective business…,https://www.indeed.com/viewjob?jk=212e017b2c24f1bb
8,"VR Test Analyst

new","Seattle, WA 98134 (Industrial District area)",From $28.50 an hour,"*Contract: * 6 months with possibility of extension Client Location: Seattle, WA Keywords is hiring multiple QA analysts for a client that manufactures…",https://www.indeed.com/viewjob?jk=14176e01dea09579
9,PYTHON DEVELOPER,"Seattle, WA",,"We are looking for a Python Web Developer responsible for developing, enhancing, modifying, maintaining applications and managing the interchange of data…",https://www.indeed.com/viewjob?jk=1a20a1c56fb7df73
10,"Data Scientist, Ads Measurement

new","Seattle, WA",,"Pinterest’s ad business is critical to its success. Our ads measurement strategy is fundamental to understanding how Pinterest adds value to advertisers, how…",https://www.indeed.com/viewjob?jk=3e88f612b337a8ae
11,"Python Developer

new","Redmond, WA",,"*W2 role only , No C2C.* Any visa is acceptable. * Python- SPARK/ Scala application build within an Enterprise setting. * Experience in one or more languages…",https://www.indeed.com/viewjob?jk=892de91c7230455b
12,"Test Analyst 2 - Connectivity

new","Seattle, WA 98134 (Industrial District area)",$33.50 an hour,"*Duration: * 6 months, extension possible Core Hours: Monday-Friday, 10am-5pm Overtime: Yes, compensated accordingly Client/Work Site: Menlo Park,…",https://www.indeed.com/viewjob?jk=d053bd0805d5e740
13,Automation and Python Training and Job Placement,"Clarksville, TN",,"Ready to take your next step in the IT field? Goodwill Industries of Middle Tennessee, Inc. is offering scholarships for the Google IT Automation with Python…",https://www.indeed.com/viewjob?jk=beb807645d0d866b
14,Jr. Data Analyst,"Redmond, WA",$13 - $19 an hour,Job Description: Looking for a Jr Data Analyst. The company’s ML Group thrives at the intersection of machine learning and biology and healthcare. The…,https://www.indeed.com/viewjob?jk=a4ed66d11fa5b623
15,Entry level Python Developer,"San Francisco, CA (Financial District area)",,"Company Description Our company is a leading IT services, consulting and outsourcing company delivering exceptional business solutions and customer value to…",https://www.indeed.com/viewjob?jk=346b78d48ac037ba
16,"Python - XC Automation Testing

new","Seattle, WA 98101 (Downtown area)",,Python - XC Automation Testing Location and Travel: Seattle - WA *This role is not able to offer visa transfer or sponsorship now or in the future* Job…,https://www.indeed.com/viewjob?jk=0c7e6346eabddbdc
17,SDET – Python,"Seattle, WA",,Required: SDET with mainly UI and some API automation 2+ years of Python experience Experience testing Payroll and SAP. Key experience: • SDET with mainly UI…,https://www.indeed.com/viewjob?jk=a69674cb17e7ad68
18,"Associate, Data Programmer

new","Seattle, WA",,Job description Description About this role Description BlackRock Alternative Advisors (“BAA”) comprises BlackRock’s hedge fund solutions platform. With…,https://www.indeed.com/viewjob?jk=b002187130d1cbe9
19,"Intern – Analytics (NOA)

new","Redmond, WA",,"Nintendo of America Inc. The worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets…",https://www.indeed.com/viewjob?jk=81e037d7448fd68e
20,Python Developer,"San Francisco, CA",$50 - $55 an hour,"Python Developer W2 short term remote contract role for one of the client in west coast. only GC and Citizens and H4 Skills needed: Python, Django,…",https://www.indeed.com/viewjob?jk=3b2efd5878ac1611
21,"Associate Data Analyst

new","Seattle, WA 98101 (Downtown area)",,"At PitchBook we work to provide global professionals with comprehensive data on the entire venture capital, private equity and M&A landscape so they can…",https://www.indeed.com/viewjob?jk=309db23901c19c97
22,Python Developer,Remote,Up to $100 an hour,"*Company Overview: * Applied Software Technology, Inc., an Autodesk Platinum Partner for over 30 years, is a premier design technology firm serving the AEC,…",https://www.indeed.com/viewjob?jk=7f69ec9fff5b8ee2
23,"Data Analyst

new","Seattle, WA",,"Summary: Evil Geniuses, one of the oldest and most recognizable brands in professional gaming, was founded 20 years ago on the belief that passion, commitment…",https://www.indeed.com/viewjob?jk=4f3ae6781a796713
24,"FullStack - React, Python, Django (Contract, Remote)

new","San Francisco, CA 94147 (Marina area)",$60 - $80 an hour,"JOB TYPE: Freelance, Contract Position - No agencies (See notes below) LOCATION: Remote (TimeZone: Team works in PST, US Based time zone required) HOURLY…",https://www.indeed.com/viewjob?jk=f987659ad094c624
25,Python Developer,"Bellevue, WA",,"Responsibilities Writing reusable, testable, and efficient code Design and implementation of low-latency, high-availability, and performant applications…",https://www.indeed.com/viewjob?jk=70912d7ae92ee088
26,"100% Remote Senior Python Developer

new","Malibu, CA",,Company Description null Job Description - Senior Python Developer - 8+ Years Experience - Very strong experience with data management - Very strong…,https://www.indeed.com/viewjob?jk=eea0b8d770481a56
27,"System Validation Engineer (python, C++, CPU)

new","Menlo Park, CA",,"Job Title: System Validation Engineer Location: Menlo Park, CA Duration: 1 Year Summary: Writing System Level tests targeting the CPU/DSP/CNN cores Writing…",https://www.indeed.com/viewjob?jk=2796b27f07ad64b9
28,Mechanical Engineer,"Seattle, WA 98121 (Belltown area)",,First Mode draws on the exceptional talent and creativity of its multidisciplinary team to solve the toughest problems on and off the planet. We help companies…,https://www.indeed.com/viewjob?jk=d31df5f2f003613b
29,"Product Analyst, Discovery

new","San Francisco, CA 94103 (South of Market area)",,"About Pinterest: Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new…",https://www.indeed.com/viewjob?jk=5391dc6dcdd1c961
30,Jr. Python Developer,"Maryland Heights, MO 63146",$29 - $35 an hour,*Jr Python Developer About OptiFunder * OptiFunder is a leading provider of cloud technology to the residential mortgage finance industry and pioneer of…,https://www.indeed.com/viewjob?jk=61da247cafaa9163
31,"Sales Engineer

new","Seattle, WA",,"Company Description Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started,…",https://www.indeed.com/viewjob?jk=6f634ae91081b4cf
32,"Python Developer (Junior/Intern)

new","Sienna Plantation, TX",$35 - $45 an hour,We are a Silicon Valley-based company looking for consultants for various locations across USA. We give a quick online orientation on Python Developer…,https://www.indeed.com/viewjob?jk=e0183cc838106072
33,Jr. Python Developer,"Charlottesville, VA 22902 (Downtown area)",,"Bluestone Analytics is a mission-focused, veteran-owned business that solves the world’s toughest problems through custom, targeted data collection augmented…",https://www.indeed.com/viewjob?jk=496f588320838319
34,Python Developer,Remote,$35 - $40 an hour,"Python developer Cincinnati OH (Remote) 3 months+ Hire 40/hr on w2 Work will include form design, python scripting and application configuration Database…",https://www.indeed.com/viewjob?jk=b8bcbf4ef9e1cd15
35,"Sales Associate | Part-Time, Store #5871 - Rejuvenation","Seattle, WA 98134 (Industrial District area)",,As a Sales Associate you provide customers with a unique shopping experience by offering excellent customer service. Utilize effective selling techniques and…,https://www.indeed.com/viewjob?jk=2af1a97e8f075a20
36,"AI/ML - Computational Linguist, Siri Understanding

new","Seattle, WA",,"Summary Posted: Nov 18, 2020 Weekly Hours: 40 Role Number:200207157 As a linguist, you will analyze and improve our linguistic resources and processes to…",https://www.indeed.com/viewjob?jk=398933d9222b7e31
37,"Data Analyst - All Levels

new","Collierville, TN",,Company: FedEx Services Job Title: Data Analyst - All Levels Job Requisition Number: RC304579 Category: Decision Science & Analytics Pay Type: Exempt Locations…,https://www.indeed.com/viewjob?jk=4d9f4d61f440dd39
38,Mid-Level Python Developer,Remote,,"Job description We are looking for a Mid-Level Python Developer to join our growing team. Job responsibilities Writing reusable, testable, and efficient…",https://www.indeed.com/viewjob?jk=b38c72a0024ad418
39,Senior Python Software Engineer,"Seattle, WA",$25 - $30 an hour,"At ThirstySprout, we’re building the world’s first developer centric platform connecting leading startups and organizations with specialized remote developers…",https://www.indeed.com/viewjob?jk=813cec9b789ac40a
40,"GIS Specialist

new",Remote,"From $55,000 a year",*Job Overview: * We are looking for someone with intermediate GIS experience to come join our GIS team at Nextlink! The GIS team at Nextlink helps our…,https://www.indeed.com/viewjob?jk=055489decd156d9e
41,Front End Web Developer,"Seattle, WA","$55,000 a year",Job Description We are looking for a Front End Web Developer to produce scalable software solutions. Web Developer responsibilities include gathering user…,https://www.indeed.com/viewjob?jk=7f7b64cdc04cd90f
42,"Software Development Engineer I - Partner Support

new","Seattle, WA 98119 (Queen Anne area)",,Do you want to transform the experience of millions of travelers the world over? Do you love working with a creative engineering team in building an…,https://www.indeed.com/viewjob?jk=0327ff0690963765
43,Operations Associate,"Seattle, WA",,Convoy is transforming the $800 billion trucking industry. Our mission is to transport the world with endless capacity and zero waste. The industry is huge…,https://www.indeed.com/viewjob?jk=2c5b0b46d5a0c4e2
44,Python Developer Intern,"Ruby, SC","$4,000 a week",Job Description We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary…,https://www.indeed.com/viewjob?jk=84a541c104b5b24c
45,Shellfish GIS Biologist,"Tulalip, WA",$29.47 an hour,This position serves as Shellfish Program technical lead for spatial mapping projects with Geographic Information Systems (GIS). Will assist in biological…,https://www.indeed.com/viewjob?jk=7251dd5d07c70c40
46,"Big Data - Cosmos | Cosmos

new","Bellevue, WA",,"Technology Lead | Big Data - Cosmos | Cosmos Work Location & Reporting Address Bellevue, WA Do you have a preferred interview schedule? Client prefers PST…",https://www.indeed.com/viewjob?jk=60553da1f4798934
47,Systems Engineer,"Seattle, WA 98121 (Belltown area)",,First Mode draws on the exceptional talent and creativity of its multidisciplinary team to solve the toughest problems on and off the planet. We help companies…,https://www.indeed.com/viewjob?jk=7283c1585bfa9cea
48,"Launch Manager (Live Chat and Chatbot) Remote Position

new","Winters, TX 79567","$34,000 - $39,000 a year",Launch Manager (Live Chat and Chatbot) Team Function: Technical Services Reports to: Senior Launch Manager Basic Salary Range: £26-£30k per annum + 33 days…,https://www.indeed.com/viewjob?jk=fe9d6bebcb505613
49,"Lead Programming Tutor (Code Mentor)

new","Bothell, WA 98012",,When you join the Mighty Coders Team you get to work with a team of extraordinary human beings who are passionately engaged on a mission to positively…,https://www.indeed.com/viewjob?jk=eeb37af10c224b2d
50,"Student Worker, School of Technology and Computing","Seattle, WA 98121 (Denny Triangle area)",$15.75 an hour,"Student Worker, School of Technology and Computing Category: Student Positions Department: School of Technology and Computing Locations: Seattle, WA Posted:…",https://www.indeed.com/viewjob?jk=3225217525e06804
51,Performance Measurement Evaluator/Project Program Manager II,"Seattle, WA",$37.98 - $48.14 an hour,PME is composed of a team nearly 30 dedicated program evaluators and data analysts who work with internal and external partners to test innovative approaches to…,https://www.indeed.com/viewjob?jk=d787af44f74801f2
52,"Data Analyst, Promotions","Seattle, WA 98109 (South Lake Union area)",,Blue Nile is seeking a passionate and talented Data Analyst who will drive the company’s efforts to maximize sales and margin through effective promotions…,https://www.indeed.com/viewjob?jk=41ad8b0d7be03045
53,"Data Science Intern

new","San Francisco, CA 94103 (South of Market area)",,"You’ll apply quantitative analysis, statistical techniques and data mining skills to understand the limitations of running hundreds of simultaneous experiments,…",https://www.indeed.com/viewjob?jk=4eb7ec474ee588a0
54,Python Developer,"Minneapolis, MN",,"Experience with Python language.
 Experience with Linux and scripting languages such as bash.
 Experience with SQL databases.",https://www.indeed.com/viewjob?jk=ae9b820a90a0f303
55,Python Web Developer,"Seattle, WA 98101 (Downtown area)",,"Hands on experience in python web frameworks like Django and Flask.
 A technology client is seeking a Freelance Python Web Developer responsible for managing the…",https://www.indeed.com/viewjob?jk=7654457730b8779c
56,BIOINFORMATICIAN,"Seattle, WA",,"The candidate will have the opportunity to make major contributions to projects, likely leading to co-author credits on manuscripts.",https://www.indeed.com/viewjob?jk=a1b26b28d1256b0f
57,"Python Developer

new",Remote,"$45,000 - $100,000 a year","Captivea deploys business management software, CRM and ERP for our clients.
 We support our customers in the implementation, integration, development,…",https://www.indeed.com/viewjob?jk=7f5c1b0adde3b13b
58,"Azure Data Engineer

new","Bothell, WA",$45 - $55 an hour,"Spark ( scala/python) experience will help.
 4+ years of overall experience with at least 2+ year in Azure cloud eco-system.",https://www.indeed.com/viewjob?jk=89fa67a397fb752a
59,python developer,Remote,,"Site reliability Key to role: looking for production systems experience. python or java.
 Responsible for maintaining the computer systems, server management…",https://www.indeed.com/viewjob?jk=834c06fcdf52842d
60,QA Engineer,"Seattle, WA",$43 - $67 an hour,"Position type: * Long Term Contract.
 Minimum 5 years of relevant work experience required; BS Computer Science Degree or equivalent degree required (Minimum 3…",https://www.indeed.com/viewjob?jk=dea2a5f57bb2ed77
61,Entry Level Business Analyst (2+Years Exp),Arizona,$35 an hour,"Role: Entry Level Business Analyst (2+Years Exp).
 Check reporting results and flag potential issues.
 Create dashboards, spreadsheet analysis, and presentations…",https://www.indeed.com/viewjob?jk=e6e644c9c83e253c
62,"Python Developer

new",Remote,,"Current and relevant experience on Centers for Medicare and Medicaid Services projects is REQUIRED.
 Must be able to obtain a Public Trust clearance and must…",https://www.indeed.com/viewjob?jk=b4b25bf54ffab1a1
63,Coding Tutor,"Seattle, WA",From $30 an hour,"They acquire skills in critical thinking and logical reasoning, presentation and project planning, teamwork and more.
 Provide training on our methodologies.",https://www.indeed.com/viewjob?jk=e03e86f6590e5ed1
64,Energy Modeler,"Seattle, WA",,Cadeo is seeking an experienced Energy Modeler to support energy efficiency research projects with utilities and government agencies.,https://www.indeed.com/viewjob?jk=6da4296a6bad21fb
65,"Python/Pyspark Data Engineer (w2 only)

new","San Francisco, CA",,"Location - San Francisco CA (remote due to Covid Restrictions).
 BA/BS degree in Computer Science, Engineering, Business or related field or equivalent…",https://www.indeed.com/viewjob?jk=166464266917b374
66,University Grad Software Engineer,"Seattle, WA",,"Hit the ground running–get ready to jump in the code base on day one.
 Write clean, efficient, and sustainable code.",https://www.indeed.com/viewjob?jk=0abce2df3bc12096
67,"Analyst, Baseball Operations","Detroit, MI 48201 (Downtown area)",,"The Detroit Tigers are currently seeking a full-time Analyst in the Baseball Operations Department.
 This role will be responsible for performing analyses and…",https://www.indeed.com/viewjob?jk=d70c21cd4719170a
68,Senior Python Developer,Remote,$35 - $70 an hour,"Currently, we develop a trading bot and we take advantage of this project to open a position for a remote mid-senior python programmer.",https://www.indeed.com/viewjob?jk=5f046ee5dd8c0980
69,Full Cycle Admissions Specialist,"Seattle, WA",,"This is a full time remote position that is salary plus sales commission.
 We are looking for eager, motivated, and enthusiastic professionals to close sales for…",https://www.indeed.com/viewjob?jk=56219fd0b6f56bd7
70,Manual Tester,"Redmond, WA","$60,000 a year","Experience in any scripting language (Ruby or python or capybara).
 Experience in manual testing the Front end/ UI of Web Applications with complex workflows…",https://www.indeed.com/viewjob?jk=f46d550113ee0b33
71,"Python Developer

new","San Diego, CA",,"Strong experienced in Python and web apps and tools development.
 Experience in developing a web tools to visualize molecular synthesis as a graph network of…",https://www.indeed.com/viewjob?jk=d495df87e287b46d
72,CLIENT SYSTEMS ADMINISTRATOR (COMPUTER SUPPORT ANALYST 2),"Seattle, WA","$4,653 - $6,259 a month",University of Washing Bothell has an outstanding job opportunity for Temporary Full Time Client Systems Administrator (Computer Support Analyst 2).,https://www.indeed.com/viewjob?jk=cea23bb51655ba2f
73,"Data Science (Telematics) Intern

new","Redmond, WA",,"Work with the software, product management, product support, and engineering teams to identify areas for leveraging…",https://www.indeed.com/viewjob?jk=2ca68dd6f55f83bb
74,Acoustics Engineer,"Redmond, WA 98052 (Sammamish Valley area)",$34 - $74 an hour,"Operation and maintenance of the acoustics laboratory, equipment, and documentation.
 Ongoing production sampling of ultrasound transducer including record…",https://www.indeed.com/viewjob?jk=607e2760eb9ed465
75,Senior Python Developer (Remote),"Seattle, WA",,"— 5+ years of experience as a software engineer.
 — 3+ years of experience in Python.
 — Upper intermediate in English with relevant experience…",https://www.indeed.com/viewjob?jk=64dcf66622a1ae45
76,"Software Developer

new",Remote,$35 - $40 an hour,"Given the extreme growth of our business, Massive Bio is looking for a software programmer to further develop, test, implement and maintain our current products…",https://www.indeed.com/viewjob?jk=2440f8c9026bdc3f
77,Analyst,"Seattle, WA",,"You will lead our clients and prospects as an expert in using, understanding, and acting on customer data.
 Support the Amperity selling motion with your deep…",https://www.indeed.com/viewjob?jk=7433d1615ec0c74d
78,VMWare Support Engineer(Microsoft Contractor),"Redmond, WA",From $50 an hour,"Microsoft Azure team is looking for VMWare contract engineer to support their Azure services.
 Besides technical talent, we also look for engineers with a run…",https://www.indeed.com/viewjob?jk=7be0eeff83a517ca
79,"Full Stack Developer (Python + Javascript req, $100K+)

new","Cincinnati, OH","$100,000 a year","Salary: $100K+ and Bonus potential .
 Benefits: Medical, IRA match, 3 weeks PTO, 11 paid Holidays, Profit Sharing.
 Sponsorship not available for this role*.",https://www.indeed.com/viewjob?jk=ea9eecb18ac10bb8
80,Teaching Assistant,"Seattle, WA",,This is a part-time remote position for the following shifts that run Saturday-Wednesday from October 10th-January 25th (off between December 24th-January 1st) …,https://www.indeed.com/viewjob?jk=e85a565951f9ab71
81,"Python/Django Developer

new","Cincinnati, OH","$63,583 - $151,999 a year","O The Developer is responsible for leading the design, development, testing, debugging, maintaining and documenting software components in accordance to…",https://www.indeed.com/viewjob?jk=7b2c26b93226c570
82,Business Intelligence Analyst - Contract,"Los Angeles, CA",$65 an hour,"Remote - based in Los Angeles, CA.
 An exciting opportunity for an experienced Business Analyst with a background in Marketing, Product, or Advertising to…",https://www.indeed.com/viewjob?jk=416db8471e8f6108
83,Software Engineer,"Seattle, WA",,"The status quo for technical interviewing doesn't meet the needs of candidates or hiring companies.
 We do this through a community of Interview Engineers who…",https://www.indeed.com/viewjob?jk=51ad14e5116d0676
84,Python Engineer,"Bellevue, WA",,The US R&D Ads team is looking for an experienced Python Engineer to design and develop large scale software capable of handling billions of events with 99.99%…,https://www.indeed.com/viewjob?jk=48c78edfd8005d00
85,Python Developer,Remote,,"You will responsible for improving core components of our product and helping to build new and innovative concepts.
 5+ years commercial Python experience.",https://www.indeed.com/viewjob?jk=085a511b377e3ecb
86,AI/ML Residency Program,"Seattle, WA",,"Combining groundbreaking machine learning techniques with next-generation hardware, our teams take user experiences to the next level.",https://www.indeed.com/viewjob?jk=1cac7cb107e7d7a7
87,Software Engineering Intern,Remote,$19 - $25 an hour,"Our interns are embedded directly into our engineering teams, contributing immediately to impactful projects and constantly learning.",https://www.indeed.com/viewjob?jk=28879eaacfb55ea6
88,Broadband Integration Test Technician,"Redmond, WA 98052 (SE Redmond area)",,"Self-monitor work progress against fast-paced area benchmarks and achieve on time delivery of all work.
 Work with integration engineers to develop and document…",https://www.indeed.com/viewjob?jk=b1a2e1be2483b622
89,"Software Engineer I

new","Seattle, WA",,The ideal candidate will take pragmatic and iterative approach to building software; have an ability to simplify and get things done.,https://www.indeed.com/viewjob?jk=3911a3ce2002e127
90,Junior Python Developer,"Kansas City, KS 66102","$43,000 - $55,000 a year"," Support the senior IT team in maintaining enterprise hardware and software.
  Assist with troubleshooting issues and provide technical support.",https://www.indeed.com/viewjob?jk=12d7af6b416abf6f
91,"Machine Learning Intern

new","Seattle, WA 98101 (Downtown area)",,We are looking for a Machine Learning (ML) and Computer Vision Intern to help us create artificial intelligence products.,https://www.indeed.com/viewjob?jk=baea473d085abe0d
92,"IT Support Specialist

new","Woodinville, WA",,"You will support the Corporate Infrastructure of the Company through integration, maintenance, administration and upgrades of an enterprise wide environment.",https://www.indeed.com/viewjob?jk=dbbec08c100eca6f
93,"Data Analyst

new",Remote,"$39,000 a year","Data Analyst (Part-time, 60%).
 Teaching Lab seeks a part-time Data Analyst to join our Learning & Research Team to analyze educator professional learning data,…",https://www.indeed.com/viewjob?jk=a5a45f198ec864bf
94,Python & Django,Florida,,Apply today if you truly believe in our core values and have a passion for building end-to-end solutions with an emphasis on scalability. You strive to…,https://www.indeed.com/viewjob?jk=eed0b5a7daa1ac2d
95,Software Engineering Intern,"Seattle, WA",,"Dive into the code base on your very first day.
 Work on high impact projects and help build the future of Pinterest.
 Pursuing a CS degree (or related field).",https://www.indeed.com/viewjob?jk=7a9906b66891bca0
96,"Associate Developer - EDI

new","Seattle, WA 98104 (Downtown area)",,The EDI Developer creates and maintains EDI based business translations that exchange electronic messages with internal and external systems.,https://www.indeed.com/viewjob?jk=c27ee6cd0db2d31f
97,Python Developer,Remote,,"Development is light on process and every developer makes an impact, usually merging code within their first week.
 4+ years of relevant experience.",https://www.indeed.com/viewjob?jk=429a93cabe66e24a
98,"Security Analyst

new","Redmond, WA",,"This role will provide subject expertise to the development of analytic techniques to detect and combat cybercrime.
 Azure experience is a must.",https://www.indeed.com/viewjob?jk=b7097c178e3c3d30
99,"Python Developer

new","San Jose, CA",$50 - $60 an hour,"Job Types: Full-time, Contract.
 Data structures: 1 year (Required).
 Traversal/recursion Algorithms: 1 year (Preferred).",https://www.indeed.com/viewjob?jk=a64f639daed40dda
100,"Data Analyst, Educator, Content Creator","Bainbridge Island, WA 98110","$42,559 - $52,017 a year",We want to support those entrepreneurs and help them make better business decisions around which markets to start their businesses.*.,https://www.indeed.com/viewjob?jk=3cf83d0586448db2
101,Principal Software Engineer - Python,"Dallas, TX",,"Provide technology solutions to various business issues across the enterprise.
 Create and develop new application software as well as develop features and…",https://www.indeed.com/viewjob?jk=d3883edcd699568c
102,Python Engineer (3+ years Software Systems Development),"Columbia, MD 21046",,"You will work with and get exposed to a range of technologies while building brand new features, creating enhancements and solving challenging engineering…",https://www.indeed.com/viewjob?jk=f25700dbd13d5965
103,"Data Analyst SQL, R Python

new","San Francisco, CA",,"The main function of a data analyst is to coordinate changes to computer databases, test, and implement the database applying knowledge of database management…",https://www.indeed.com/viewjob?jk=d2146866f12dde71
104,"Sr Analyst, Geospatial Engineering","Bellevue, WA",,"GIS and mapping software experience, language proficiency in python, SQL, and Java.
 The Senior Analyst, Geospatial Engineering will contribute to the team by…",https://www.indeed.com/viewjob?jk=6cb96537142e2783
105,"(Senior)Manager, AI Perception Software","Santa Clara, CA 95050",,"You will be responsible for implementing and testing perception algorithm software for the autonomous driving platform.
 Yes, temporarily due to COVID-19.",https://www.indeed.com/viewjob?jk=ba6a6d692908b335
106,Python Developer,"Fremont, CA 94538",,"Work closely with Product Management, Engineering and DevOps to build features, resolve problems, and perform testing related to customer facing high traffic…",https://www.indeed.com/viewjob?jk=084c275cde9f4442
107,Software Engineer I (Entry Level),"South Bend, IN 46601 (Southeast Quality area)","$50,000 - $60,000 a year",The Software Engineer I is able to estimate completion deadlines for their assigned tasks and responsibly manages their time accordingly.,https://www.indeed.com/viewjob?jk=561acb5fbcfb4ea0
108,"Python Software Engineer

new","Plano, TX",,"Design and engineer software to develop cutting edge solutions.
 Work closely with product owners and other team members to deliver next generation connected car…",https://www.indeed.com/viewjob?jk=bea957b6833b0361
109,Data Scientist I,"Seattle, WA 98119 (Queen Anne area)",,The Conversation Platform & Customer Engagement (CPCE) team is looking for you to join and help shape the product vision and strategy which will directly impact…,https://www.indeed.com/viewjob?jk=8f202a5fe0793891
110,Python Developer - Spire Digital,"Denver, CO",,"Spire Digital, a subsidiary of Kin + Carta and award-winning 21-year-old custom software development firm in Denver, is seeking a Python Developer to join our…",https://www.indeed.com/viewjob?jk=4f18ed490632a5e6
111,"Python developer @ Princeton, NJ","Princeton, NJ",,Experience level; 6-8 years experience.,https://www.indeed.com/viewjob?jk=53fc570881cfca63
112,"Analyst, Sales & Delivery Operations","Seattle, WA",,"The Sales & Delivery Operations team is responsible for supporting the field Sales & Delivery organization by driving key systems and operational improvements,…",https://www.indeed.com/viewjob?jk=e355a6f52ac5a773
113,"Python Developer

new","Ramsey, NJ 07401","$120,000 - $180,000 a year","A problem-solver who faces every obstacle as a welcoming challenge.
 We utilize Python to build highly scalable services to support our Elixir backend and host…",https://www.indeed.com/viewjob?jk=0da5fd4ecbe21a6a
114,Technician,"Corvallis, OR 97330",,This entry level position is focused on processing of remote sensing data and general production efforts across multiple disciplines within QSI (primarily…,https://www.indeed.com/viewjob?jk=a5734d3d70d5a237
115,SDET,"Seattle, WA",,"Qualification Required - Bachelors in information technology / Computer ScienceDesign, develop, implement and validate software solutions focused on application…",https://www.indeed.com/viewjob?jk=c5f989d377ca7193
116,Sales Analyst,"Seattle, WA",,The Divisional Sales Analyst for the Independent Sales Organization (ISO) is an out-of-the-box problem solver and critical thinker who can intake large amounts…,https://www.indeed.com/viewjob?jk=182b957bceb42180
117,"Research Associate I – Brain Science, 3D Reconstruction

new","Seattle, WA 98109 (Westlake area)",,"Using a Big Science approach, we generate useful public resources, drive technological and analytical advances, and discover fundamental brain properties…",https://www.indeed.com/viewjob?jk=a76ed808c572a173
118,Python Engineer,Remote,,"3+ years or of Software Development or comparable experience with skills in a major python web framework such as Django, Flask, Twisted, etc.",https://www.indeed.com/viewjob?jk=0e08e1e323874e40
119,Internship - Data Analyst,"Seattle, WA 98119 (Queen Anne area)",,Along your journey you will make an immediate impact on re-imagining travel by developing insightful reports on traveler trends which drive operational…,https://www.indeed.com/viewjob?jk=afd6bc3c60063c05
120,Sr.ETL Developer with Python,Remote,From $65 an hour,Solutions that help companies gain deep insights from their data that position them to make today’s business decisions and gives them the knowledge to predict…,https://www.indeed.com/viewjob?jk=7a57f353975560d8
121,SDE I,"Seattle, WA",,"1+ years experience with at least one language (Java, Python, C++, C#, R, etc);
 Strong OO design or Functional design skills with understanding of common design…",https://www.indeed.com/viewjob?jk=3f0c35c7e8f29eac
122,Content Contributor : iOS Development,New York State,,"Codecademy is looking for a knowledgeable programmer or instructor to help write our newest skill path, Build Basic iOS Apps, which we'll teach using Swift…",https://www.indeed.com/viewjob?jk=a7f18bd945797fb5
123,Python Developer,"Pleasanton, CA 94588",,"Strong knowledge of software development with 4+ years experience of Python.
 Experience with Odoo/OpenERP, Django are prefered.",https://www.indeed.com/viewjob?jk=3e0edac988078bf5
124,"Data Scientist - All Levels

new","Collierville, TN",,"Duties for this role include but not limited to: provide enterprise level analytics related to vast quantities of data (including disparate data), enterprise…",https://www.indeed.com/viewjob?jk=a88367950cf62977
125,"Data Scientist, Growth

new","San Francisco, CA 94103 (South of Market area)",,We’re looking for a data scientist to help us connect Pinners to actionable content that improves the Pinner experience.,https://www.indeed.com/viewjob?jk=fed86c2254d4e618
126,"ENGINEER, DIGITAL I SEA","Seattle, WA 98109 (South Lake Union area)",,"Interact directly with peer developers, Product Management, UX, QA, and remote server-side engineering groups as part of a cohesive team.",https://www.indeed.com/viewjob?jk=0f436f7f4125ba1b
127,"Research Engineer II

new","Seattle, WA (South Lake Union area)",,"In this role the successful applicant will help develop instrumentation and consumables needed for new genomic tools, enabling Spatial Biology.",https://www.indeed.com/viewjob?jk=dc37591a25baa6ae
