ID,TITLE,LOCATION,SALARY,SUMMARY,LINK
329,Intern: Software Engineer (Summer 2021),"Seattle, WA",,The Climate Corporation is looking for talented and motivated Computer Science or Engineering students with solid CS and Programming fundamentals for several of…,https://www.indeed.com/viewjob?jk=369f677470f93fe9
330,Data Analyst,California,,Large online marketplaces like Amazon have trained consumers to expect products to be delivered in two days at no extra cost.,https://www.indeed.com/viewjob?jk=9587558864a616a5
331,"Sr. Software Engineer

new","Seattle, WA 98109 (South Lake Union area)","$100,000 - $150,000 a year","The position will support development and application of software systems and methods for large scale data capture, management, and analysis across the entire…",https://www.indeed.com/viewjob?jk=34df95f5ed58f79e
332,"Business Intelligence Group - Data Analyst - Associate

new","New York, NY",,"Strong communication skills and the ability to bridge the gap between technology and business is a must.
 The role also provides the opportunity to learn and…",https://www.indeed.com/viewjob?jk=ca007358ee9f50fc
333,"Game Programmer Intern (Unity)

new","Los Angeles, CA",,"Details: Unity, C#, Remote, Part-Time, Paid.
 Game: Shujinkou, a Japanese Language Learning JRPG (Switch, PC).
 Intermediate to Advanced background with Unity.",https://www.indeed.com/viewjob?jk=bede691ee12cccde
334,"Software Development Snr Director

new","Seattle, WA",,"Applicants are required to read, write, and speak the following languages: English.
 You will be responsible for providing leadership, direction and strategy.",https://www.indeed.com/viewjob?jk=a48382940eff39ae
335,"Python Developer with Automation

new","Mountain View, CA",,"Strong python concepts and coding skills with Development expertise in Automation area..
 Good experience in building test frameworks.",https://www.indeed.com/viewjob?jk=6e4d6d4698fb90d4
336,"Python Data Scientist ( US citizens ONLY )

new","Herndon, VA",$80 - $89 an hour,"Location : 100 % Remote ( work from home ).
 Duration : 1 plus year ongoing .
 Data Scientist with 5-7 years of experience with the REQUIRED below:",https://www.indeed.com/viewjob?jk=5b8fd189fc9baa2d
337,Data Engineer with Python,"Boston, MA",From $50 an hour,This individual will be involved in deploying algorithms to the Cloud and they will help create a recommendation engine for their customers.,https://www.indeed.com/viewjob?jk=a40e3cc06f505c2e
338,"Front End Developer

new",Remote,"$75,000 - $130,000 a year","The ideal candidate should have excellent knowledge of user-centered design processes, information and interaction design approaches, web design best practices,…",https://www.indeed.com/viewjob?jk=a38f047c0ee10e37
339,Software Engineer,Remote,"$50,000 - $80,000 a year","Development of robust web scrapers.
 Reverse engineering of Android/iOS and JS/webapps.
 Bot and captcha bypass mitigation tactics.",https://www.indeed.com/viewjob?jk=c3404ad521f9cdb5
340,Blue Planet Junior Developer,Remote,,"You will design and develop customer driven applications using Ciena’s Blue Planet development platform.
 You will handle a wide array of tasks ranging from…",https://www.indeed.com/viewjob?jk=5c33cb88e6c9ed49
341,"RESEARCH SCIENTIST/ENGINEER

new","Seattle, WA",,"It will observe half the sky every three nights, detect ten million transient events nightly, and generate more than 6 petabytes of data per year.",https://www.indeed.com/viewjob?jk=cef5ce8b69cb298c
342,"Data Scientist and Analytics Associate Sr

new","Wilmington, DE",,"Chase is the U.S. consumer and commercial banking business of JPMorgan Chase & Co.
 Furthermore, the Architecture, Data, and Engineering (ADE) organization…",https://www.indeed.com/viewjob?jk=bd20a3ddb46199fe
343,"Software Development Engineer, Test","Seattle, WA 98101 (Downtown area)",,"Design, setup, and execute test cases on the core software service delivery platform.
 Identify and analyze software requirements derived from business…",https://www.indeed.com/viewjob?jk=d5811b9c91583115
344,Python Developer,"Boston, MA 02109 (Central area)","$70,000 - $100,000 a year","A Python Developer having the knowledge of Python who is capable of or interested in designing, developing, and implementing web applications as per business…",https://www.indeed.com/viewjob?jk=ee6d0b2c18b80cf1
345,"Python UI developer - Flask , Python Dash, D3.js

new","Arlington, VA",,"Write UI applications using Flask , Python Dash, D3.js.
 Write User Guides, Job Aids and Python code documentation.",https://www.indeed.com/viewjob?jk=80852e66d7481409
346,NOC Technician,"Seattle, WA",,We are looking for a Network Operations Technician that will monitor critical network elements for infrastructure used by both internal and external customers.,https://www.indeed.com/viewjob?jk=64e7c40c38d85f5b
347,"Software Engineer

new","Seattle, WA",,"You’ll be extending and maintaining the financial backend that powers our clients.
 This includes the software that processes card transactions and bank…",https://www.indeed.com/viewjob?jk=cbf7745e66d67eb7
348,"Business Intelligence Data Analytics and Visualization

new","Jersey City, NJ",,"The team identifies and pursues business intelligence innovation initiatives across GTI, structures analytics to explore improvement opportunities, and drives…",https://www.indeed.com/viewjob?jk=f5637df75ec56078
